dataset,model,batch_size,mode,removed_count,removed_blocks,latency_ms,saved_latency_ms,speedup,acc_top1,top1_drop
imagenet100,resnet50,128,full,0,,54.4304,0.0,1.0,96.586,0.0
imagenet100,resnet50,128,plain,1,layer4.2,54.3997,0.0307,1.0006,87.3584,9.2276
imagenet100,resnet50,128,plain,2,"layer4.1,layer4.2",54.3359,0.0945,1.0017,59.202,37.3841
imagenet100,resnet50,128,plain,3,"layer4.0,layer4.1,layer4.2",53.4038,1.0266,1.0192,64.1591,32.4269
imagenet100,resnet50,128,plain,4,"layer3.5,layer4.0,layer4.1,layer4.2",53.0447,1.3857,1.0261,2.4312,94.1548
imagenet100,resnet50,128,plain,5,"layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",52.6975,1.7329,1.0329,0.9906,95.5954
imagenet100,resnet50,128,plain,6,"layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",52.3701,2.0603,1.0393,1.1761,95.4099
imagenet100,resnet50,128,plain,7,"layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",52.0766,2.3538,1.0452,1.0814,95.5046
imagenet100,resnet50,128,plain,8,"layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",51.7401,2.6903,1.052,1.038,95.548
imagenet100,resnet50,128,plain,9,"layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",50.4142,4.0162,1.0797,1.038,95.548
imagenet100,resnet50,128,plain,10,"layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",49.7553,4.6751,1.094,1.038,95.548
imagenet100,resnet50,128,plain,11,"layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",49.0323,5.3981,1.1101,1.038,95.548
imagenet100,resnet50,128,plain,12,"layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",48.4172,6.0132,1.1242,1.038,95.548
imagenet100,resnet50,128,plain,13,"layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",46.0402,8.3902,1.1822,1.038,95.548
imagenet100,resnet50,128,plain,14,"layer1.2,layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",44.7439,9.6865,1.2165,1.038,95.548
imagenet100,resnet50,128,plain,15,"layer1.1,layer1.2,layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",43.4085,11.0219,1.2539,1.038,95.548
imagenet100,resnet50,128,plain,16,"layer1.0,layer1.1,layer1.2,layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",40.6229,13.8074,1.3399,1.113,95.473
