dataset,model,batch_size,mode,removed_count,removed_blocks,peak_mb,saved_memory_mb,saved_memory_pct,latency_ms,saved_latency_ms,speedup
imagenet,resnet50,64,full,0,,779.67,0.0,0.0,69.8115,0.0,1.0
imagenet,resnet50,64,plain,1,layer4.2,779.67,0.0,0.0,77.6597,-7.8482,0.8989
imagenet,resnet50,64,plain,2,"layer4.1,layer4.2",779.67,0.0,0.0,64.2714,5.5401,1.0862
imagenet,resnet50,64,plain,3,"layer4.0,layer4.1,layer4.2",779.67,0.0,0.0,90.7542,-20.9426,0.7692
imagenet,resnet50,64,plain,4,"layer3.5,layer4.0,layer4.1,layer4.2",779.67,0.0,0.0,59.6069,10.2046,1.1712
imagenet,resnet50,64,plain,5,"layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",779.67,0.0,0.0,75.7665,-5.955,0.9214
imagenet,resnet50,64,plain,6,"layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",779.67,0.0,0.0,68.8114,1.0002,1.0145
imagenet,resnet50,64,plain,7,"layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",779.67,0.0,0.0,62.855,6.9565,1.1107
imagenet,resnet50,64,plain,8,"layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",779.67,0.0,0.0,89.4372,-19.6257,0.7806
imagenet,resnet50,64,plain,9,"layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",779.67,0.0,0.0,56.855,12.9566,1.2279
imagenet,resnet50,64,plain,10,"layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",779.67,0.0,0.0,72.4457,-2.6341,0.9636
imagenet,resnet50,64,plain,11,"layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",779.67,0.0,0.0,65.1955,4.616,1.0708
imagenet,resnet50,64,plain,12,"layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",779.67,0.0,0.0,59.0837,10.7278,1.1816
imagenet,resnet50,64,plain,13,"layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",779.67,0.0,0.0,84.6847,-14.8731,0.8244
imagenet,resnet50,64,plain,14,"layer1.2,layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",779.67,0.0,0.0,55.1586,14.6529,1.2657
imagenet,resnet50,64,plain,15,"layer1.1,layer1.2,layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",779.67,0.0,0.0,59.0261,10.7855,1.1827
imagenet,resnet50,64,plain,16,"layer1.0,layer1.1,layer1.2,layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",779.67,0.0,0.0,79.664,-9.8525,0.8763
