dataset,model,batch_size,mode,removed_count,removed_blocks,peak_mb,saved_memory_mb,saved_memory_pct,latency_ms,saved_latency_ms,speedup,max_batch_size,saved_max_batch_size
imagenet100,resnet50,128,full,0,,1439.19,0.0,0.0,54.5058,0.0,1.0,1024,0
imagenet100,resnet50,128,plain,1,layer4.2,1447.32,-1,-1,54.3522,0.1536,1.0028,1024,0
imagenet100,resnet50,128,plain,2,"layer4.1,layer4.2",1447.32,-1,-1,54.2563,0.2495,1.0046,1024,0
imagenet100,resnet50,128,plain,3,"layer4.0,layer4.1,layer4.2",1447.32,-1,-1,53.3634,1.1424,1.0214,1024,0
imagenet100,resnet50,128,plain,4,"layer3.5,layer4.0,layer4.1,layer4.2",1447.32,-1,-1,53.019,1.4868,1.028,1024,0
imagenet100,resnet50,128,plain,5,"layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",1447.32,-1,-1,52.7436,1.7622,1.0334,1024,0
imagenet100,resnet50,128,plain,6,"layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",1447.32,-1,-1,52.3849,2.121,1.0405,1024,0
imagenet100,resnet50,128,plain,7,"layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",1447.32,-1,-1,52.1005,2.4053,1.0462,1024,0
imagenet100,resnet50,128,plain,8,"layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",1447.32,-1,-1,51.7618,2.744,1.053,1024,0
imagenet100,resnet50,128,plain,9,"layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",1447.32,-1,-1,50.4849,4.0209,1.0796,1024,0
imagenet100,resnet50,128,plain,10,"layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",1447.32,-1,-1,49.8318,4.674,1.0938,1024,0
imagenet100,resnet50,128,plain,11,"layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",1447.32,-1,-1,49.1647,5.3411,1.1086,1024,0
imagenet100,resnet50,128,plain,12,"layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",1447.32,-1,-1,48.4924,6.0134,1.124,1024,0
imagenet100,resnet50,128,plain,13,"layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",1446.82,-1,-1,46.126,8.3798,1.1817,1024,0
imagenet100,resnet50,128,plain,14,"layer1.2,layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",1446.82,-1,-1,44.7268,9.779,1.2186,1024,0
imagenet100,resnet50,128,plain,15,"layer1.1,layer1.2,layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",1446.82,-1,-1,43.4751,11.0307,1.2537,1024,0
imagenet100,resnet50,128,plain,16,"layer1.0,layer1.1,layer1.2,layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",1446.82,-1,-1,40.6805,13.8253,1.3398,1024,0
