dataset,model,batch_size,mode,removed_count,removed_blocks,activation_peak_mb,saved_activation_mb,saved_activation_pct,latency_ms,saved_latency_ms,speedup
imagenet100,resnet50,128,full,0,,1274.5,0.0,0.0,54.4973,0.0,1.0
imagenet100,resnet50,128,plain,1,layer4.2,1274.5,0.0,0.0,54.35,0.1474,1.0027
imagenet100,resnet50,128,plain,2,"layer4.1,layer4.2",1274.5,0.0,0.0,54.2135,0.2839,1.0052
imagenet100,resnet50,128,plain,3,"layer4.0,layer4.1,layer4.2",1274.5,0.0,0.0,53.3231,1.1742,1.022
imagenet100,resnet50,128,plain,4,"layer3.5,layer4.0,layer4.1,layer4.2",1274.5,0.0,0.0,52.9927,1.5046,1.0284
imagenet100,resnet50,128,plain,5,"layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",1274.5,0.0,0.0,52.6535,1.8438,1.035
imagenet100,resnet50,128,plain,6,"layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",1274.5,0.0,0.0,52.3634,2.1339,1.0408
imagenet100,resnet50,128,plain,7,"layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",1274.5,0.0,0.0,52.0473,2.45,1.0471
imagenet100,resnet50,128,plain,8,"layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",1274.5,0.0,0.0,51.7126,2.7847,1.0538
imagenet100,resnet50,128,plain,9,"layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",1274.5,0.0,0.0,50.4076,4.0897,1.0811
imagenet100,resnet50,128,plain,10,"layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",1274.5,0.0,0.0,49.7267,4.7707,1.0959
imagenet100,resnet50,128,plain,11,"layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",1274.5,0.0,0.0,49.0636,5.4337,1.1107
imagenet100,resnet50,128,plain,12,"layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",1274.5,0.0,0.0,48.4045,6.0929,1.1259
imagenet100,resnet50,128,plain,13,"layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",1274.0,0.5,0.04,46.0688,8.4286,1.183
imagenet100,resnet50,128,plain,14,"layer1.2,layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",1274.0,0.5,0.04,44.7232,9.7741,1.2185
imagenet100,resnet50,128,plain,15,"layer1.1,layer1.2,layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",1274.0,0.5,0.04,43.4134,11.0839,1.2553
imagenet100,resnet50,128,plain,16,"layer1.0,layer1.1,layer1.2,layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",1274.0,0.5,0.04,40.5998,13.8976,1.3423
