dataset,model,batch_size,mode,removed_count,removed_blocks,peak_mb,saved_memory_mb,saved_memory_pct,latency_ms,saved_latency_ms,speedup
imagenet,resnet50,8,full,0,,-1,0.0,0.0,156.6584,0.0,1.0
imagenet,resnet50,8,plain,1,layer4.2,-1,-1,-1,152.454,4.2044,1.0276
imagenet,resnet50,8,plain,2,"layer4.1,layer4.2",-1,-1,-1,161.1139,-4.4555,0.9723
imagenet,resnet50,8,plain,3,"layer4.0,layer4.1,layer4.2",-1,-1,-1,153.5011,3.1573,1.0206
imagenet,resnet50,8,plain,4,"layer3.5,layer4.0,layer4.1,layer4.2",-1,-1,-1,151.1318,5.5266,1.0366
imagenet,resnet50,8,plain,5,"layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",-1,-1,-1,153.9291,2.7293,1.0177
imagenet,resnet50,8,plain,6,"layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",-1,-1,-1,153.4715,3.1869,1.0208
imagenet,resnet50,8,plain,7,"layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",-1,-1,-1,154.2928,2.3657,1.0153
imagenet,resnet50,8,plain,8,"layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",-1,-1,-1,153.9467,2.7117,1.0176
imagenet,resnet50,8,plain,9,"layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",-1,-1,-1,152.7362,3.9222,1.0257
imagenet,resnet50,8,plain,10,"layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",-1,-1,-1,154.8896,1.7688,1.0114
imagenet,resnet50,8,plain,11,"layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",-1,-1,-1,151.8843,4.7741,1.0314
imagenet,resnet50,8,plain,12,"layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",-1,-1,-1,151.8745,4.7839,1.0315
imagenet,resnet50,8,plain,13,"layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",-1,-1,-1,151.5819,5.0765,1.0335
imagenet,resnet50,8,plain,14,"layer1.2,layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",-1,-1,-1,150.5697,6.0887,1.0404
imagenet,resnet50,8,plain,15,"layer1.1,layer1.2,layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",-1,-1,-1,149.1443,7.5141,1.0504
imagenet,resnet50,8,plain,16,"layer1.0,layer1.1,layer1.2,layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",-1,-1,-1,148.4578,8.2006,1.0552
