dataset,model,block,bandwidth_mbps,dag_bytes,chain_bytes,saved_bytes,size_saved_pct,dag_serialize_ms,chain_serialize_ms,saved_serialize_ms,dag_transfer_ms,chain_transfer_ms,saved_transfer_ms,dag_total_ms,chain_total_ms,saved_total_ms,total_saved_pct
imagenet,resnet50,layer1.0,1.0,6422528,3211264,3211264,50.0,4.1839,1.9655,2.2185,51382.224,25692.112,25690.112,51386.4079,25694.0775,25692.3305,50.0
imagenet,resnet50,layer1.0,10.0,6422528,3211264,3211264,50.0,4.1839,1.9655,2.2185,5140.0224,2571.0112,2569.0112,5144.2063,2572.9767,2571.2297,49.98
imagenet,resnet50,layer1.0,100.0,6422528,3211264,3211264,50.0,4.1839,1.9655,2.2185,515.8022,258.9011,256.9011,519.9862,260.8666,259.1196,49.83
imagenet,resnet50,layer1.1,1.0,6422528,3211264,3211264,50.0,4.1358,2.0676,2.0682,51382.224,25692.112,25690.112,51386.3598,25694.1796,25692.1802,50.0
imagenet,resnet50,layer1.1,10.0,6422528,3211264,3211264,50.0,4.1358,2.0676,2.0682,5140.0224,2571.0112,2569.0112,5144.1582,2573.0788,2571.0794,49.98
imagenet,resnet50,layer1.1,100.0,6422528,3211264,3211264,50.0,4.1358,2.0676,2.0682,515.8022,258.9011,256.9011,519.938,260.9688,258.9693,49.81
imagenet,resnet50,layer1.2,1.0,6422528,3211264,3211264,50.0,4.0733,2.0972,1.9761,51382.224,25692.112,25690.112,51386.2973,25694.2092,25692.0881,50.0
imagenet,resnet50,layer1.2,10.0,6422528,3211264,3211264,50.0,4.0733,2.0972,1.9761,5140.0224,2571.0112,2569.0112,5144.0957,2573.1084,2570.9873,49.98
imagenet,resnet50,layer1.2,100.0,6422528,3211264,3211264,50.0,4.0733,2.0972,1.9761,515.8022,258.9011,256.9011,519.8755,260.9983,258.8772,49.8
imagenet,resnet50,layer2.0,1.0,3211264,1605632,1605632,50.0,2.1802,1.0813,1.0989,25692.112,12847.056,12845.056,25694.2922,12848.1373,12846.1549,50.0
imagenet,resnet50,layer2.0,10.0,3211264,1605632,1605632,50.0,2.1802,1.0813,1.0989,2571.0112,1286.5056,1284.5056,2573.1914,1287.5869,1285.6045,49.96
imagenet,resnet50,layer2.0,100.0,3211264,1605632,1605632,50.0,2.1802,1.0813,1.0989,258.9011,130.4506,128.4506,261.0813,131.5318,129.5494,49.62
imagenet,resnet50,layer2.1,1.0,3211264,1605632,1605632,50.0,2.1714,1.0856,1.0858,25692.112,12847.056,12845.056,25694.2834,12848.1416,12846.1418,50.0
imagenet,resnet50,layer2.1,10.0,3211264,1605632,1605632,50.0,2.1714,1.0856,1.0858,2571.0112,1286.5056,1284.5056,2573.1826,1287.5912,1285.5914,49.96
imagenet,resnet50,layer2.1,100.0,3211264,1605632,1605632,50.0,2.1714,1.0856,1.0858,258.9011,130.4506,128.4506,261.0725,131.5362,129.5363,49.62
imagenet,resnet50,layer2.2,1.0,3211264,1605632,1605632,50.0,2.171,1.0898,1.0812,25692.112,12847.056,12845.056,25694.283,12848.1458,12846.1372,50.0
imagenet,resnet50,layer2.2,10.0,3211264,1605632,1605632,50.0,2.171,1.0898,1.0812,2571.0112,1286.5056,1284.5056,2573.1822,1287.5954,1285.5868,49.96
imagenet,resnet50,layer2.2,100.0,3211264,1605632,1605632,50.0,2.171,1.0898,1.0812,258.9011,130.4506,128.4506,261.0721,131.5404,129.5317,49.62
imagenet,resnet50,layer2.3,1.0,3211264,1605632,1605632,50.0,2.18,1.0887,1.0913,25692.112,12847.056,12845.056,25694.292,12848.1447,12846.1473,50.0
imagenet,resnet50,layer2.3,10.0,3211264,1605632,1605632,50.0,2.18,1.0887,1.0913,2571.0112,1286.5056,1284.5056,2573.1912,1287.5943,1285.5969,49.96
imagenet,resnet50,layer2.3,100.0,3211264,1605632,1605632,50.0,2.18,1.0887,1.0913,258.9011,130.4506,128.4506,261.0811,131.5393,129.5418,49.62
imagenet,resnet50,layer3.0,1.0,1605632,802816,802816,50.0,1.1048,0.5512,0.5536,12847.056,6424.528,6422.528,12848.1608,6425.0792,6423.0816,49.99
imagenet,resnet50,layer3.0,10.0,1605632,802816,802816,50.0,1.1048,0.5512,0.5536,1286.5056,644.2528,642.2528,1287.6104,644.804,642.8064,49.92
imagenet,resnet50,layer3.0,100.0,1605632,802816,802816,50.0,1.1048,0.5512,0.5536,130.4506,66.2253,64.2253,131.5553,66.7764,64.7789,49.24
imagenet,resnet50,layer3.1,1.0,1605632,802816,802816,50.0,1.1023,0.5509,0.5514,12847.056,6424.528,6422.528,12848.1583,6425.0789,6423.0794,49.99
imagenet,resnet50,layer3.1,10.0,1605632,802816,802816,50.0,1.1023,0.5509,0.5514,1286.5056,644.2528,642.2528,1287.6079,644.8037,642.8042,49.92
imagenet,resnet50,layer3.1,100.0,1605632,802816,802816,50.0,1.1023,0.5509,0.5514,130.4506,66.2253,64.2253,131.5528,66.7762,64.7766,49.24
imagenet,resnet50,layer3.2,1.0,1605632,802816,802816,50.0,1.1038,0.5511,0.5528,12847.056,6424.528,6422.528,12848.1598,6425.0791,6423.0808,49.99
imagenet,resnet50,layer3.2,10.0,1605632,802816,802816,50.0,1.1038,0.5511,0.5528,1286.5056,644.2528,642.2528,1287.6094,644.8039,642.8056,49.92
imagenet,resnet50,layer3.2,100.0,1605632,802816,802816,50.0,1.1038,0.5511,0.5528,130.4506,66.2253,64.2253,131.5544,66.7764,64.778,49.24
imagenet,resnet50,layer3.3,1.0,1605632,802816,802816,50.0,1.1063,0.5501,0.5562,12847.056,6424.528,6422.528,12848.1623,6425.0781,6423.0842,49.99
imagenet,resnet50,layer3.3,10.0,1605632,802816,802816,50.0,1.1063,0.5501,0.5562,1286.5056,644.2528,642.2528,1287.6119,644.8029,642.809,49.92
imagenet,resnet50,layer3.3,100.0,1605632,802816,802816,50.0,1.1063,0.5501,0.5562,130.4506,66.2253,64.2253,131.5569,66.7754,64.7815,49.24
imagenet,resnet50,layer3.4,1.0,1605632,802816,802816,50.0,1.1044,0.5519,0.5525,12847.056,6424.528,6422.528,12848.1604,6425.0799,6423.0805,49.99
imagenet,resnet50,layer3.4,10.0,1605632,802816,802816,50.0,1.1044,0.5519,0.5525,1286.5056,644.2528,642.2528,1287.61,644.8047,642.8053,49.92
imagenet,resnet50,layer3.4,100.0,1605632,802816,802816,50.0,1.1044,0.5519,0.5525,130.4506,66.2253,64.2253,131.555,66.7772,64.7778,49.24
imagenet,resnet50,layer3.5,1.0,1605632,802816,802816,50.0,1.1055,0.5542,0.5514,12847.056,6424.528,6422.528,12848.1615,6425.0822,6423.0794,49.99
imagenet,resnet50,layer3.5,10.0,1605632,802816,802816,50.0,1.1055,0.5542,0.5514,1286.5056,644.2528,642.2528,1287.6111,644.807,642.8042,49.92
imagenet,resnet50,layer3.5,100.0,1605632,802816,802816,50.0,1.1055,0.5542,0.5514,130.4506,66.2253,64.2253,131.5561,66.7794,64.7766,49.24
imagenet,resnet50,layer4.0,1.0,802816,401408,401408,50.0,0.7283,0.3621,0.3663,6424.528,3213.264,3211.264,6425.2563,3213.6261,3211.6303,49.98
imagenet,resnet50,layer4.0,10.0,802816,401408,401408,50.0,0.7283,0.3621,0.3663,644.2528,323.1264,321.1264,644.9811,323.4885,321.4927,49.85
imagenet,resnet50,layer4.0,100.0,802816,401408,401408,50.0,0.7283,0.3621,0.3663,66.2253,34.1126,32.1126,66.9536,34.4747,32.4789,48.51
imagenet,resnet50,layer4.1,1.0,802816,401408,401408,50.0,0.7238,0.3618,0.3619,6424.528,3213.264,3211.264,6425.2518,3213.6258,3211.6259,49.98
