dataset,model,block,bandwidth_mbps,dag_bytes,chain_bytes,saved_bytes,size_saved_pct,dag_serialize_ms,chain_serialize_ms,saved_serialize_ms,dag_transfer_ms,chain_transfer_ms,saved_transfer_ms,dag_total_ms,chain_total_ms,saved_total_ms,total_saved_pct
imagenet,resnet50,layer1.0,1.0,6422528,3211264,3211264,50.0,5.4268,2.6522,2.7746,51382.224,25692.112,25690.112,51387.6508,25694.7642,25692.8866,50.0
imagenet,resnet50,layer1.0,10.0,6422528,3211264,3211264,50.0,5.4268,2.6522,2.7746,5140.0224,2571.0112,2569.0112,5145.4492,2573.6634,2571.7858,49.98
imagenet,resnet50,layer1.0,100.0,6422528,3211264,3211264,50.0,5.4268,2.6522,2.7746,515.8022,258.9011,256.9011,521.229,261.5533,259.6757,49.82
imagenet,resnet50,layer1.1,1.0,6422528,3211264,3211264,50.0,5.8445,3.2226,2.622,51382.224,25692.112,25690.112,51388.0685,25695.3346,25692.734,50.0
imagenet,resnet50,layer1.1,10.0,6422528,3211264,3211264,50.0,5.8445,3.2226,2.622,5140.0224,2571.0112,2569.0112,5145.8669,2574.2338,2571.6332,49.97
imagenet,resnet50,layer1.1,100.0,6422528,3211264,3211264,50.0,5.8445,3.2226,2.622,515.8022,258.9011,256.9011,521.6468,262.1237,259.5231,49.75
imagenet,resnet50,layer1.2,1.0,6422528,3211264,3211264,50.0,6.5312,3.1186,3.4127,51382.224,25692.112,25690.112,51388.7552,25695.2306,25693.5247,50.0
imagenet,resnet50,layer1.2,10.0,6422528,3211264,3211264,50.0,6.5312,3.1186,3.4127,5140.0224,2571.0112,2569.0112,5146.5536,2574.1298,2572.4239,49.98
imagenet,resnet50,layer1.2,100.0,6422528,3211264,3211264,50.0,6.5312,3.1186,3.4127,515.8022,258.9011,256.9011,522.3335,262.0197,260.3138,49.84
imagenet,resnet50,layer2.0,1.0,3211264,1605632,1605632,50.0,2.8569,1.2764,1.5805,25692.112,12847.056,12845.056,25694.9689,12848.3324,12846.6365,50.0
imagenet,resnet50,layer2.0,10.0,3211264,1605632,1605632,50.0,2.8569,1.2764,1.5805,2571.0112,1286.5056,1284.5056,2573.8681,1287.782,1286.0861,49.97
imagenet,resnet50,layer2.0,100.0,3211264,1605632,1605632,50.0,2.8569,1.2764,1.5805,258.9011,130.4506,128.4506,261.758,131.7269,130.0311,49.68
