dataset,model,block,bandwidth_mbps,dag_bytes,chain_bytes,saved_bytes,size_saved_pct,dag_serialize_ms,chain_serialize_ms,saved_serialize_ms,dag_transfer_ms,chain_transfer_ms,saved_transfer_ms,dag_total_ms,chain_total_ms,saved_total_ms,total_saved_pct
imagenet,resnet50,layer1.0,1.0,6422528,3211264,3211264,50.0,3.914,1.9102,2.0038,51382.224,25692.112,25690.112,51386.138,25694.0222,25692.1158,50.0
imagenet,resnet50,layer1.0,10.0,6422528,3211264,3211264,50.0,3.914,1.9102,2.0038,5140.0224,2571.0112,2569.0112,5143.9364,2572.9214,2571.015,49.98
imagenet,resnet50,layer1.0,100.0,6422528,3211264,3211264,50.0,3.914,1.9102,2.0038,515.8022,258.9011,256.9011,519.7162,260.8113,258.905,49.82
imagenet,resnet50,layer1.1,1.0,6422528,3211264,3211264,50.0,3.9033,2.093,1.8104,51382.224,25692.112,25690.112,51386.1273,25694.205,25691.9224,50.0
imagenet,resnet50,layer1.1,10.0,6422528,3211264,3211264,50.0,3.9033,2.093,1.8104,5140.0224,2571.0112,2569.0112,5143.9257,2573.1042,2570.8216,49.98
imagenet,resnet50,layer1.1,100.0,6422528,3211264,3211264,50.0,3.9033,2.093,1.8104,515.8022,258.9011,256.9011,519.7056,260.9941,258.7115,49.78
imagenet,resnet50,layer1.2,1.0,6422528,3211264,3211264,50.0,4.3684,1.915,2.4535,51382.224,25692.112,25690.112,51386.5924,25694.027,25692.5655,50.0
imagenet,resnet50,layer1.2,10.0,6422528,3211264,3211264,50.0,4.3684,1.915,2.4535,5140.0224,2571.0112,2569.0112,5144.3908,2572.9262,2571.4647,49.99
imagenet,resnet50,layer1.2,100.0,6422528,3211264,3211264,50.0,4.3684,1.915,2.4535,515.8022,258.9011,256.9011,520.1707,260.8161,259.3546,49.86
imagenet,resnet50,layer2.0,1.0,3211264,1605632,1605632,50.0,2.1277,1.0595,1.0682,25692.112,12847.056,12845.056,25694.2397,12848.1155,12846.1242,50.0
imagenet,resnet50,layer2.0,10.0,3211264,1605632,1605632,50.0,2.1277,1.0595,1.0682,2571.0112,1286.5056,1284.5056,2573.1389,1287.5651,1285.5738,49.96
imagenet,resnet50,layer2.0,100.0,3211264,1605632,1605632,50.0,2.1277,1.0595,1.0682,258.9011,130.4506,128.4506,261.0288,131.5101,129.5187,49.62
imagenet,resnet50,layer2.1,1.0,3211264,1605632,1605632,50.0,2.1167,1.0571,1.0596,25692.112,12847.056,12845.056,25694.2287,12848.1131,12846.1156,50.0
imagenet,resnet50,layer2.1,10.0,3211264,1605632,1605632,50.0,2.1167,1.0571,1.0596,2571.0112,1286.5056,1284.5056,2573.1279,1287.5627,1285.5652,49.96
imagenet,resnet50,layer2.1,100.0,3211264,1605632,1605632,50.0,2.1167,1.0571,1.0596,258.9011,130.4506,128.4506,261.0178,131.5076,129.5102,49.62
imagenet,resnet50,layer2.2,1.0,3211264,1605632,1605632,50.0,2.1185,1.063,1.0555,25692.112,12847.056,12845.056,25694.2305,12848.119,12846.1115,50.0
imagenet,resnet50,layer2.2,10.0,3211264,1605632,1605632,50.0,2.1185,1.063,1.0555,2571.0112,1286.5056,1284.5056,2573.1297,1287.5686,1285.5611,49.96
imagenet,resnet50,layer2.2,100.0,3211264,1605632,1605632,50.0,2.1185,1.063,1.0555,258.9011,130.4506,128.4506,261.0196,131.5135,129.5061,49.62
imagenet,resnet50,layer2.3,1.0,3211264,1605632,1605632,50.0,2.1181,1.0593,1.0588,25692.112,12847.056,12845.056,25694.2301,12848.1153,12846.1148,50.0
imagenet,resnet50,layer2.3,10.0,3211264,1605632,1605632,50.0,2.1181,1.0593,1.0588,2571.0112,1286.5056,1284.5056,2573.1293,1287.5649,1285.5644,49.96
imagenet,resnet50,layer2.3,100.0,3211264,1605632,1605632,50.0,2.1181,1.0593,1.0588,258.9011,130.4506,128.4506,261.0192,131.5099,129.5093,49.62
imagenet,resnet50,layer3.0,1.0,1605632,802816,802816,50.0,1.1078,0.5961,0.5117,12847.056,6424.528,6422.528,12848.1638,6425.1241,6423.0397,49.99
imagenet,resnet50,layer3.0,10.0,1605632,802816,802816,50.0,1.1078,0.5961,0.5117,1286.5056,644.2528,642.2528,1287.6134,644.8489,642.7645,49.92
imagenet,resnet50,layer3.0,100.0,1605632,802816,802816,50.0,1.1078,0.5961,0.5117,130.4506,66.2253,64.2253,131.5584,66.8214,64.737,49.21
imagenet,resnet50,layer3.1,1.0,1605632,802816,802816,50.0,1.1466,0.8479,0.2988,12847.056,6424.528,6422.528,12848.2026,6425.3759,6422.8268,49.99
imagenet,resnet50,layer3.1,10.0,1605632,802816,802816,50.0,1.1466,0.8479,0.2988,1286.5056,644.2528,642.2528,1287.6522,645.1007,642.5516,49.9
imagenet,resnet50,layer3.1,100.0,1605632,802816,802816,50.0,1.1466,0.8479,0.2988,130.4506,66.2253,64.2253,131.5972,67.0731,64.524,49.03
imagenet,resnet50,layer3.2,1.0,1605632,802816,802816,50.0,1.5025,0.5559,0.9466,12847.056,6424.528,6422.528,12848.5585,6425.0839,6423.4746,49.99
imagenet,resnet50,layer3.2,10.0,1605632,802816,802816,50.0,1.5025,0.5559,0.9466,1286.5056,644.2528,642.2528,1288.0081,644.8087,643.1994,49.94
imagenet,resnet50,layer3.2,100.0,1605632,802816,802816,50.0,1.5025,0.5559,0.9466,130.4506,66.2253,64.2253,131.9531,66.7812,65.1719,49.39
imagenet,resnet50,layer3.3,1.0,1605632,802816,802816,50.0,1.0996,0.5561,0.5435,12847.056,6424.528,6422.528,12848.1556,6425.0841,6423.0715,49.99
imagenet,resnet50,layer3.3,10.0,1605632,802816,802816,50.0,1.0996,0.5561,0.5435,1286.5056,644.2528,642.2528,1287.6052,644.8089,642.7963,49.92
imagenet,resnet50,layer3.3,100.0,1605632,802816,802816,50.0,1.0996,0.5561,0.5435,130.4506,66.2253,64.2253,131.5502,66.7814,64.7687,49.24
imagenet,resnet50,layer3.4,1.0,1605632,802816,802816,50.0,1.0964,0.5472,0.5491,12847.056,6424.528,6422.528,12848.1524,6425.0752,6423.0771,49.99
imagenet,resnet50,layer3.4,10.0,1605632,802816,802816,50.0,1.0964,0.5472,0.5491,1286.5056,644.2528,642.2528,1287.602,644.8,642.8019,49.92
imagenet,resnet50,layer3.4,100.0,1605632,802816,802816,50.0,1.0964,0.5472,0.5491,130.4506,66.2253,64.2253,131.5469,66.7725,64.7744,49.24
imagenet,resnet50,layer3.5,1.0,1605632,802816,802816,50.0,1.11,0.5465,0.5634,12847.056,6424.528,6422.528,12848.166,6425.0745,6423.0914,49.99
imagenet,resnet50,layer3.5,10.0,1605632,802816,802816,50.0,1.11,0.5465,0.5634,1286.5056,644.2528,642.2528,1287.6156,644.7993,642.8162,49.92
imagenet,resnet50,layer3.5,100.0,1605632,802816,802816,50.0,1.11,0.5465,0.5634,130.4506,66.2253,64.2253,131.5606,66.7718,64.7887,49.25
imagenet,resnet50,layer4.0,1.0,802816,401408,401408,50.0,0.7429,0.3696,0.3734,6424.528,3213.264,3211.264,6425.2709,3213.6336,3211.6374,49.98
imagenet,resnet50,layer4.0,10.0,802816,401408,401408,50.0,0.7429,0.3696,0.3734,644.2528,323.1264,321.1264,644.9957,323.496,321.4998,49.85
imagenet,resnet50,layer4.0,100.0,802816,401408,401408,50.0,0.7429,0.3696,0.3734,66.2253,34.1126,32.1126,66.9682,34.4822,32.486,48.51
imagenet,resnet50,layer4.1,1.0,802816,401408,401408,50.0,0.7321,0.3661,0.3661,6424.528,3213.264,3211.264,6425.2601,3213.6301,3211.6301,49.98
imagenet,resnet50,layer4.1,10.0,802816,401408,401408,50.0,0.7321,0.3661,0.3661,644.2528,323.1264,321.1264,644.9849,323.4925,321.4925,49.84
imagenet,resnet50,layer4.1,100.0,802816,401408,401408,50.0,0.7321,0.3661,0.3661,66.2253,34.1126,32.1126,66.9574,34.4787,32.4787,48.51
imagenet,resnet50,layer4.2,1.0,802816,401408,401408,50.0,0.7262,0.3623,0.3639,6424.528,3213.264,3211.264,6425.2542,3213.6263,3211.6279,49.98
imagenet,resnet50,layer4.2,10.0,802816,401408,401408,50.0,0.7262,0.3623,0.3639,644.2528,323.1264,321.1264,644.979,323.4887,321.4903,49.85
