dataset,model,mode,removed_count,removed_blocks,top1,top5,loss,top1_drop
imagenet,resnet50,full,0,,92.8,98.3,1.001489,0.0
imagenet,resnet50,plain,1,layer4.2,68.2,86.0,5.76225,24.6
imagenet,resnet50,plain,2,"layer4.1,layer4.2",60.8,81.3,4.917619,32.0
imagenet,resnet50,plain,3,"layer4.0,layer4.1,layer4.2",72.7,91.5,4.25524,20.1
imagenet,resnet50,plain,4,"layer3.5,layer4.0,layer4.1,layer4.2",0.2,0.8,7.122271,92.6
imagenet,resnet50,plain,5,"layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",0.0,0.0,6.848812,92.8
imagenet,resnet50,plain,6,"layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",0.0,0.0,6.840217,92.8
imagenet,resnet50,plain,7,"layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",0.0,0.0,6.853243,92.8
imagenet,resnet50,plain,8,"layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",0.0,0.0,6.868147,92.8
imagenet,resnet50,plain,9,"layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",0.0,0.0,6.878112,92.8
imagenet,resnet50,plain,10,"layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",0.0,0.0,6.898287,92.8
imagenet,resnet50,plain,11,"layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",0.0,0.0,6.913752,92.8
imagenet,resnet50,plain,12,"layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",0.0,0.0,6.913494,92.8
imagenet,resnet50,plain,13,"layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",0.0,0.0,6.913461,92.8
imagenet,resnet50,plain,14,"layer1.2,layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",0.0,0.0,6.91354,92.8
imagenet,resnet50,plain,15,"layer1.1,layer1.2,layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",0.0,0.0,6.912389,92.8
imagenet,resnet50,plain,16,"layer1.0,layer1.1,layer1.2,layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",0.0,0.0,6.895744,92.8
