dataset,model,block_idx,block,num_batches,l2_ratio_mean,l2_ratio_std,cosine_mean,cosine_std
imagenet100,resnet50,0,layer1.0,396,0.897611,0.066563,-0.753185,0.136433
imagenet100,resnet50,1,layer1.1,396,1.397139,0.080071,-0.047346,0.011308
imagenet100,resnet50,2,layer1.2,396,1.286225,0.131,-0.068915,0.01569
imagenet100,resnet50,3,layer2.0,396,1.067033,0.114483,0.349262,0.096136
imagenet100,resnet50,4,layer2.1,396,0.966313,0.100303,-0.294935,0.031268
imagenet100,resnet50,5,layer2.2,396,1.055866,0.044597,-0.231171,0.024456
imagenet100,resnet50,6,layer2.3,396,1.138093,0.054309,-0.185175,0.020328
imagenet100,resnet50,7,layer3.0,396,1.389414,0.100356,0.391994,0.046224
imagenet100,resnet50,8,layer3.1,396,0.960135,0.088807,-0.248836,0.040941
imagenet100,resnet50,9,layer3.2,396,0.974353,0.07844,-0.208495,0.014671
imagenet100,resnet50,10,layer3.3,396,1.013379,0.075925,-0.18592,0.014696
imagenet100,resnet50,11,layer3.4,396,1.31743,0.101121,-0.205904,0.021074
imagenet100,resnet50,12,layer3.5,396,1.39224,0.123356,-0.205438,0.009788
imagenet100,resnet50,13,layer4.0,396,1.094734,0.076097,0.59773,0.054766
imagenet100,resnet50,14,layer4.1,396,3.167213,0.358441,-0.168559,0.018048
imagenet100,resnet50,15,layer4.2,396,4.817727,1.058926,-0.178211,0.021036
