dataset,model,block_idx,block,num_batches,l2_ratio_mean,l2_ratio_std,cosine_mean,cosine_std
imagenet,resnet50,0,layer1.0,20,0.913092,0.058893,-0.742908,0.156169
imagenet,resnet50,1,layer1.1,20,1.213044,0.100893,-0.047484,0.009841
imagenet,resnet50,2,layer1.2,20,1.212363,0.064995,-0.080338,0.024168
imagenet,resnet50,3,layer2.0,20,0.981585,0.134814,0.334981,0.072804
imagenet,resnet50,4,layer2.1,20,0.936242,0.035375,-0.312649,0.026557
imagenet,resnet50,5,layer2.2,20,1.02419,0.026593,-0.268895,0.03396
imagenet,resnet50,6,layer2.3,20,1.131193,0.031811,-0.182445,0.006305
imagenet,resnet50,7,layer3.0,20,1.343347,0.084232,0.396636,0.02348
imagenet,resnet50,8,layer3.1,20,0.962402,0.056452,-0.25262,0.015302
imagenet,resnet50,9,layer3.2,20,0.963402,0.050296,-0.221161,0.011605
imagenet,resnet50,10,layer3.3,20,1.04118,0.064043,-0.208831,0.012676
imagenet,resnet50,11,layer3.4,20,1.399393,0.083514,-0.21637,0.01384
imagenet,resnet50,12,layer3.5,20,1.422092,0.085547,-0.211842,0.00717
imagenet,resnet50,13,layer4.0,20,1.111443,0.061746,0.631264,0.029922
imagenet,resnet50,14,layer4.1,20,3.620554,0.289429,-0.160927,0.012103
imagenet,resnet50,15,layer4.2,20,5.493907,0.989348,-0.17562,0.015337
