model,dataset,compensator,rank,calib_size,epochs,final_calib_loss,top1,top5,loss,latency_ms,latency_std_ms,peak_memory_mb,macs,params
resnet50,imagenet,full_residual,0,0,0,0.0,80.122,95.24,1.418019,78.0239,22.1298,779.67,4087138304,25557032
resnet50,imagenet,plain,0,0,0,0.0,0.106,0.514,8.978665,68.8077,8.371,880.39,4087138304,25557032
resnet50,imagenet,scalar,0,8192,10,3.056888,0.084,0.512,7.37234,91.9122,26.5454,987.26,4087138304,25557048
resnet50,imagenet,affine,0,8192,10,1.409819,0.1,0.602,6.955549,93.3215,26.8027,1186.74,4087138304,25587240
resnet50,imagenet,linear1x1,0,8192,10,0.736628,0.214,4.994,6.927571,76.2708,9.6437,1263.56,4498180096,45691688
resnet50,imagenet,low_rank_r4,4,8192,10,0.864989,0.108,1.49,6.995698,93.7273,27.8557,1185.91,4099983360,25677864
resnet50,imagenet,low_rank_r8,8,8192,10,0.800696,0.118,1.9,6.984007,63.1731,5.816,1186.82,4112828416,25798696
resnet50,imagenet,low_rank_r16,16,8192,10,0.550628,72.756,91.388,1.715048,62.9883,5.9387,1187.84,4138518528,26040360
resnet50,imagenet,low_rank_r32,32,8192,10,0.509102,73.966,92.07,1.667761,62.9228,6.0526,1190.12,4189898752,26523688
resnet50,imagenet,adapter,16,8192,10,0.780629,0.1,0.768,6.940519,93.6894,29.3304,1187.22,4138518528,26055720
