model,dataset,compensator,rank,calib_size,epochs,final_calib_loss,top1,top5,loss,latency_ms,latency_std_ms,peak_memory_mb,macs,params
resnet50,imagenet,full_residual,0,0,0,0.0,90.7812,98.125,1.057287,3038.7885,518.6529,0.01,4087138304,25557032
resnet50,imagenet,plain,0,0,0,0.0,55.7812,80.0,6.013109,2813.1925,303.9438,0.01,4087138304,25557032
resnet50,imagenet,scalar,0,128,1,0.260573,55.7812,80.0,6.009612,2636.9531,353.3005,0.01,4087138304,25557048
resnet50,imagenet,affine,0,128,1,0.260564,55.7812,80.0,6.009714,1937.3385,387.6688,0.01,4087138304,25587240
resnet50,imagenet,linear1x1,0,128,1,5.414517,0.0,3.75,6.893482,2670.0109,409.8995,0.01,4292659200,45691688
resnet50,imagenet,low_rank_r4,4,128,1,7.122139,0.0,0.0,13.429302,2806.5163,431.398,0.01,4087941120,25677864
resnet50,imagenet,low_rank_r8,8,128,1,5.648595,0.0,0.0,10.932013,2681.5302,290.7557,0.01,4088743936,25798696
resnet50,imagenet,low_rank_r16,16,128,1,5.4416,0.0,0.0,11.134446,2722.5306,327.5279,0.01,4090349568,26040360
resnet50,imagenet,low_rank_r32,32,128,1,5.668695,0.0,2.1875,10.135402,2626.2956,456.2401,0.01,4093560832,26523688
resnet50,imagenet,adapter,16,128,1,0.562646,0.0,0.0,6.902112,3069.0207,599.8429,0.01,4090349568,26055720
