dataset,model,batch_size,mode,removed_count,removed_blocks,peak_mb,saved_memory_mb,saved_memory_pct,latency_ms,saved_latency_ms,speedup
imagenet,resnet50,32,full,0,,-1,0.0,0.0,912.2313,0.0,1.0
imagenet,resnet50,32,plain,1,layer4.2,-1,-1,-1,918.5623,-6.3309,0.9931
imagenet,resnet50,32,plain,2,"layer4.1,layer4.2",-1,-1,-1,945.9176,-33.6863,0.9644
imagenet,resnet50,32,plain,3,"layer4.0,layer4.1,layer4.2",-1,-1,-1,940.1716,-27.9403,0.9703
imagenet,resnet50,32,plain,4,"layer3.5,layer4.0,layer4.1,layer4.2",-1,-1,-1,966.4079,-54.1766,0.9439
imagenet,resnet50,32,plain,5,"layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",-1,-1,-1,909.3568,2.8746,1.0032
imagenet,resnet50,32,plain,6,"layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",-1,-1,-1,952.7912,-40.5599,0.9574
imagenet,resnet50,32,plain,7,"layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",-1,-1,-1,930.2281,-17.9968,0.9807
imagenet,resnet50,32,plain,8,"layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",-1,-1,-1,941.4014,-29.17,0.969
imagenet,resnet50,32,plain,9,"layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",-1,-1,-1,946.8022,-34.5709,0.9635
imagenet,resnet50,32,plain,10,"layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",-1,-1,-1,938.2091,-25.9777,0.9723
imagenet,resnet50,32,plain,11,"layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",-1,-1,-1,946.6874,-34.456,0.9636
imagenet,resnet50,32,plain,12,"layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",-1,-1,-1,940.4122,-28.1809,0.97
imagenet,resnet50,32,plain,13,"layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",-1,-1,-1,913.6926,-1.4612,0.9984
imagenet,resnet50,32,plain,14,"layer1.2,layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",-1,-1,-1,932.5884,-20.357,0.9782
imagenet,resnet50,32,plain,15,"layer1.1,layer1.2,layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",-1,-1,-1,928.3761,-16.1448,0.9826
imagenet,resnet50,32,plain,16,"layer1.0,layer1.1,layer1.2,layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",-1,-1,-1,896.4267,15.8046,1.0176
