dataset,model,mode,removed_count,removed_blocks,top1,top5,loss,top1_drop
synthetic,resnet50,full,0,,0.0,0.7812,7.750846,0.0
synthetic,resnet50,plain,1,layer4.2,0.0,0.7812,6.925233,0.0
synthetic,resnet50,plain,2,"layer4.1,layer4.2",0.0,0.3906,6.916997,0.0
synthetic,resnet50,plain,3,"layer4.0,layer4.1,layer4.2",0.0,0.0,6.942063,0.0
synthetic,resnet50,plain,4,"layer3.5,layer4.0,layer4.1,layer4.2",0.0,0.0,6.906154,0.0
synthetic,resnet50,plain,5,"layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",0.0,0.0,7.023088,0.0
synthetic,resnet50,plain,6,"layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",0.0,0.0,7.03993,0.0
synthetic,resnet50,plain,7,"layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",0.0,0.0,7.055968,0.0
synthetic,resnet50,plain,8,"layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",0.0,0.0,7.022558,0.0
synthetic,resnet50,plain,9,"layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",0.0,0.0,7.016876,0.0
synthetic,resnet50,plain,10,"layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",0.0,0.0,7.014607,0.0
synthetic,resnet50,plain,11,"layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",0.0,0.0,7.011657,0.0
synthetic,resnet50,plain,12,"layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",0.0,0.0,7.012855,0.0
synthetic,resnet50,plain,13,"layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",0.0,0.0,7.01194,0.0
synthetic,resnet50,plain,14,"layer1.2,layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",0.0,0.0,7.011204,0.0
synthetic,resnet50,plain,15,"layer1.1,layer1.2,layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",0.0,0.0,7.011454,0.0
synthetic,resnet50,plain,16,"layer1.0,layer1.1,layer1.2,layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",0.0,0.0,7.033473,0.0
